Stock,Date,Open,High,Low,Close,Adj Close,Volume
Apple,24/08/1988,1.419643,1.455357,1.410714,1.455357,0.094559,31368400
Apple,25/08/1988,1.4375,1.446429,1.401786,1.433036,0.093109,31920000
Apple,26/08/1988,1.428571,1.455357,1.428571,1.4375,0.093399,10038000
Apple,29/08/1988,1.455357,1.464286,1.446429,1.459821,0.094849,14308000
Apple,30/08/1988,1.455357,1.464286,1.428571,1.459821,0.094849,12642000
Apple,31/08/1988,1.464286,1.46875,1.410714,1.424107,0.092529,59421600
Apple,01/09/1988,1.419643,1.419643,1.375,1.388393,0.090208,61684000
Apple,02/09/1988,1.410714,1.428571,1.392857,1.419643,0.092239,46575200
Apple,06/09/1988,1.428571,1.428571,1.383929,1.388393,0.090208,35862400
Apple,07/09/1988,1.392857,1.410714,1.348214,1.366071,0.088758,44777600
Apple,08/09/1988,1.366071,1.410714,1.348214,1.383929,0.089918,51814000
Apple,09/09/1988,1.383929,1.464286,1.348214,1.446429,0.093979,58668400
Apple,12/09/1988,1.464286,1.491071,1.433036,1.464286,0.095139,37007600
Apple,13/09/1988,1.4375,1.473214,1.428571,1.464286,0.095139,29920800
Apple,14/09/1988,1.491071,1.513393,1.482143,1.5,0.09746,59642800
Apple,15/09/1988,1.5,1.526786,1.482143,1.486607,0.09659,41440000
Apple,16/09/1988,1.482143,1.526786,1.477679,1.508929,0.09804,30940000
Apple,19/09/1988,1.5,1.508929,1.473214,1.491071,0.09688,23032800
Apple,20/09/1988,1.491071,1.508929,1.477679,1.482143,0.0963,25670400
Apple,21/09/1988,1.491071,1.535714,1.482143,1.526786,0.0992,22836800
Apple,22/09/1988,1.535714,1.571429,1.526786,1.571429,0.102101,36416800
Apple,23/09/1988,1.553571,1.580357,1.553571,1.5625,0.101521,25370800
Apple,26/09/1988,1.5625,1.571429,1.517857,1.526786,0.0992,21758800
Apple,27/09/1988,1.517857,1.553571,1.517857,1.549107,0.10065,40745600
Apple,28/09/1988,1.553571,1.575893,1.544643,1.553571,0.10094,21173600
Apple,29/09/1988,1.5625,1.580357,1.553571,1.571429,0.102101,26518800
Apple,30/09/1988,1.571429,1.571429,1.544643,1.544643,0.10036,23223200
Apple,03/10/1988,1.535714,1.544643,1.5,1.517857,0.09862,22694000
Apple,04/10/1988,1.508929,1.526786,1.46875,1.482143,0.0963,12913600
Apple,05/10/1988,1.473214,1.491071,1.446429,1.459821,0.094849,30800000
Apple,06/10/1988,1.446429,1.459821,1.401786,1.419643,0.092239,41941200
Apple,07/10/1988,1.392857,1.419643,1.370536,1.419643,0.092239,114396800
Apple,10/10/1988,1.410714,1.419643,1.339286,1.375,0.089338,83160000
Apple,11/10/1988,1.366071,1.410714,1.366071,1.392857,0.090498,48638800
Apple,12/10/1988,1.375,1.392857,1.357143,1.383929,0.089918,33236000
